"Monthly counts of all registered deaths for 'unvaccinated' and 'ever vaccinated' by age group; for all deaths and deaths involving COVID-19, deaths occurring between 1 January 2021 and 31 May 2022, England"					
This worksheet contains 1 table.					
"Source: Source: Office for National Statistics, National Immunisation Management Service."					
Cause of Death	Year	Month	Age group	Vaccination status	Count of Deaths
Deaths involving COVID-19	2021	December	40-49	Unvaccinated	96
Deaths involving COVID-19	2021	December	40-49	Ever vaccinated	53
Deaths involving COVID-19	2021	December	50-59	Unvaccinated	156
Deaths involving COVID-19	2021	December	50-59	Ever vaccinated	156
Deaths involving COVID-19	2021	December	60-69	Unvaccinated	185
Deaths involving COVID-19	2021	December	60-69	Ever vaccinated	341
Deaths involving COVID-19	2021	December	70-79	Unvaccinated	200
Deaths involving COVID-19	2021	December	70-79	Ever vaccinated	552
Deaths involving COVID-19	2021	December	80-89	Unvaccinated	220
Deaths involving COVID-19	2021	December	80-89	Ever vaccinated	810
Deaths involving COVID-19	2021	December	90+	Unvaccinated	87
Deaths involving COVID-19	2021	December	90+	Ever vaccinated	387
Deaths involving COVID-19	2022	January	10-39	Unvaccinated	41
Deaths involving COVID-19	2022	January	10-39	Ever vaccinated	31
Deaths involving COVID-19	2022	January	40-49	Unvaccinated	53
Deaths involving COVID-19	2022	January	40-49	Ever vaccinated	53
Deaths involving COVID-19	2022	January	50-59	Unvaccinated	116
Deaths involving COVID-19	2022	January	50-59	Ever vaccinated	164
Deaths involving COVID-19	2022	January	60-69	Unvaccinated	210
Deaths involving COVID-19	2022	January	60-69	Ever vaccinated	412
Deaths involving COVID-19	2022	January	70-79	Unvaccinated	236
Deaths involving COVID-19	2022	January	70-79	Ever vaccinated	957
Deaths involving COVID-19	2022	January	80-89	Unvaccinated	218
Deaths involving COVID-19	2022	January	80-89	Ever vaccinated	1750
Deaths involving COVID-19	2022	January	90+	Unvaccinated	143
Deaths involving COVID-19	2022	January	90+	Ever vaccinated	1125
Deaths involving COVID-19	2022	February	10-39	Unvaccinated	16
Deaths involving COVID-19	2022	February	10-39	Ever vaccinated	8
Deaths involving COVID-19	2022	February	40-49	Unvaccinated	15
Deaths involving COVID-19	2022	February	40-49	Ever vaccinated	24
Deaths involving COVID-19	2022	February	50-59	Unvaccinated	39
